Case,Task,glmnet30_Ch1,glmnet30_Ch2,glmnet30_Ch3,glmnet30_Ch4
1,1,0.201758405180077,0.436990125426283,0.255756595871899,0.105494873521742
1,2,0.297679340088412,0.168868122618101,0.0425020855354566,0.49095045175803
1,3,0.333364983535574,0.0956431110221816,0.213628734747857,0.357363170694388
1,4,0.240345484523592,0.149295251965461,0.0969129800276884,0.513446283483259
1,5,0.194333144302367,0.236674687184204,0.331863945422664,0.237128223090766
1,6,0.640935237729751,0.0942252314789189,0.0359508057862378,0.228888725005092
1,7,0.224023862847748,0.467730181740115,0.0273053932682589,0.280940562143879
1,8,0.347525972358261,0.0610379940795653,0.0959481494107151,0.495487884151458
1,9,0.0700730611605452,0.267179540746323,0.109490728068775,0.553256670024357
1,10,0.158206897302826,0.37824067011477,0.0402884598522562,0.423263972730148
1,11,0.197711155375849,0.354895504669915,0.149333359019133,0.298059980935104
1,12,0.0510209651845928,0.138380009322691,0.530365487069931,0.280233538422785
1,13,0.0810647836990035,0.0936481785348738,0.37722907042658,0.448057967339542
1,14,0.157186185874024,0.168793459197975,0.0829124070234574,0.591107947904544
1,15,0.184342340186678,0.457800297523849,0.100592339945282,0.25726502234419
1,16,0.226445924305352,0.184241641593064,0.0976980347899496,0.491614399311634
1,17,0.121238172896849,0.274817864335899,0.112745017647495,0.491198945119757
1,18,0.213130800793384,0.362691001417641,0.086682699623615,0.33749549816536
1,19,0.0770470481188864,0.303696835947849,0.296610469072643,0.322645646860621
2,1,0.472134270946796,0.378120484951571,0.0396966292256992,0.110048614875934
2,2,0.451633356069032,0.194370396179809,0.121747317119954,0.232248930631205
2,3,0.0481589623550669,0.468407888585373,0.321276904823957,0.162156244235603
2,4,0.182958354179123,0.564309643685777,0.161980477235072,0.0907515249000275
2,5,0.0907864616483129,0.450802696521367,0.233016819501985,0.225394022328334
2,6,0.244312679755042,0.102750101016665,0.468633543236264,0.184303675992028
2,7,0.146323727784435,0.201475099798556,0.47493897946161,0.177262192955399
2,8,0.412895042025885,0.179912360600091,0.276646929997937,0.130545667376087
2,9,0.186199348011131,0.247850130876759,0.401827221606664,0.164123299505447
2,10,0.0654234826638578,0.402154010783869,0.306683179608929,0.225739326943344
2,11,0.39783546445801,0.199326879425751,0.107540016216339,0.2952976398999
2,12,0.0402012828373713,0.255421409328944,0.570572230272655,0.13380507756103
2,13,0.108050850870955,0.327448665408003,0.109295504354663,0.455204979366379
2,14,0.420841291336762,0.142756521605422,0.246115132254244,0.190287054803572
2,15,0.332886220165318,0.102939267354523,0.184641482496868,0.379533029983291
2,16,0.398932484981172,0.254304694456147,0.101388309885353,0.245374510677328
2,17,0.410752938712521,0.128510393441266,0.214869799098302,0.245866868747911
2,18,0.299538905966524,0.0451447258371785,0.321768373352018,0.33354799484428
2,19,0.0969405167897,0.65162865776001,0.107297665262314,0.144133160187977
3,1,0.110575838618994,0.169840516779026,0.341258423626746,0.378325220975234
3,2,0.265224324132725,0.0592472173310541,0.0572218427229767,0.618306615813244
3,3,0.0690679500846535,0.11388970328981,0.26250956590555,0.554532780719986
3,4,0.492550949448505,0.0452343393989001,0.160543138086186,0.301671573066409
