Case,Task,ts_Ch1,ts_Ch2,ts_Ch3,ts_Ch4
1,1,0.244344171664624,0.287346331308502,0.212303945710063,0.256005551316811
1,2,0.230876028873099,0.139683627268277,0.0192072045621456,0.610233139296478
1,3,0.287157621817681,0.0952547000804192,0.218732611791622,0.398855066310278
1,4,0.41468928981336,0.139188686136229,0.0944945076734594,0.351627516376952
1,5,0.243759183456229,0.194000329883218,0.348643336568482,0.213597150092071
1,6,0.647693902859312,0.0788813880675152,0.0258061609835652,0.247618548089608
1,7,0.18267792198971,0.527785038118945,0.0112192176250764,0.278317822266269
1,8,0.481101851543355,0.0239313404372219,0.0558111847252767,0.439155623294146
1,9,0.0543755624831242,0.400939293090128,0.105529521132601,0.439155623294146
1,10,0.155287970692304,0.35232477604518,0.0291507539117046,0.463236499350812
1,11,0.119113694161929,0.238550397971272,0.117851802079439,0.524484105787361
1,12,0.0459752357727269,0.118732792862266,0.587725359774694,0.247566611590313
1,13,0.062427577079416,0.0952264004392301,0.478729218640136,0.363616803841218
1,14,0.132571834008455,0.245293787137551,0.0716374142270892,0.550496964626905
1,15,0.116991539515976,0.488267107433519,0.0490401361565142,0.34570121689399
1,16,0.128615112953429,0.13405552982945,0.0725123276394942,0.664817029577627
1,17,0.0897784873535183,0.272172116933083,0.0853779038464456,0.552671491866953
1,18,0.17207695025373,0.484862705911086,0.0432992803080157,0.299761063527169
1,19,0.0454217868779492,0.338250032692319,0.345018499778803,0.271309680650929
2,1,0.362025556684625,0.469894305891283,0.0507014471924985,0.117378690231594
2,2,0.503986281321747,0.217457210686065,0.148206846121507,0.130349661870681
2,3,0.0728271859095955,0.377112506674724,0.26688624928577,0.28317405812991
2,4,0.258732550771385,0.440953930603586,0.189327570011674,0.110985948613354
2,5,0.113955990093091,0.409260164688318,0.274603833595,0.202180011623591
2,6,0.251626242282904,0.104380827959151,0.491669166454286,0.152323763303659
2,7,0.248460491426995,0.208827300783723,0.425140728459384,0.117571479329899
2,8,0.463777465595177,0.156238613997907,0.234107172152231,0.145876748254685
2,9,0.196525217640801,0.239899873809785,0.368205343445539,0.195369565103875
2,10,0.0975504471950922,0.422428185959856,0.281416538410291,0.198604828434761
2,11,0.512676568684222,0.197270536118632,0.126946961647143,0.163105933550002
2,12,0.1103852321134,0.227403278019375,0.430298751732932,0.231912738134293
2,13,0.151539286974712,0.255395305329192,0.105548386708957,0.487517020987138
2,14,0.421484866952261,0.092963481019435,0.157092335665168,0.328459316363137
2,15,0.435148945301766,0.0728768759753287,0.210056501128106,0.2819176775948
2,16,0.517950161444505,0.206492085699371,0.0929147551790349,0.182642997677089
2,17,0.356254675211065,0.0807103212672274,0.27199615769248,0.291038845829227
2,18,0.448250302758837,0.0463675615323622,0.269806161258311,0.23557597445049
2,19,0.127115716542181,0.617432588864477,0.0964490321775276,0.159002662415814
3,1,0.0599887459027634,0.151402231091253,0.409637606790579,0.378971416215405
3,2,0.270851884532032,0.0345934522836498,0.035769552926427,0.658785110257891
3,3,0.0737010714764832,0.0751307283931076,0.263015760922401,0.588152439208009
3,4,0.541976957164083,0.0249683713781989,0.109119601128948,0.32393507032877
3,5,0.440838116770775,0.0719382730320063,0.0284513150944151,0.458772295102803
3,6,0.033954818639059,0.0992813849338845,0.476231517098163,0.390532279328894
3,7,0.0403716917952865,0.099482835277309,0.345063342475537,0.515082130451867
3,8,0.0565262076721468,0.208405844468695,0.108638785960085,0.626429161899074
3,9,0.441913848052281,0.184631601751089,0.0851804485223852,0.288274101674244
3,10,0.019007146515156,0.60541985183839,0.0311465899157711,0.344426411730683
3,11,0.016524991062893,0.373475718243075,0.36670992707607,0.243289363617962
3,12,0.0429924243027975,0.621934844893306,0.0373951491355183,0.297677581668378
3,13,0.352399383668888,0.0311677553305601,0.328158759326308,0.288274101674244
3,14,0.00520486024345311,0.686572426562911,0.0161750601375397,0.292047653056096
3,15,0.282218513145717,0.045311626281422,0.243114118843531,0.42935574172933
3,16,0.644268656622422,0.0472977519208629,0.0414967752356279,0.266936816221087
3,17,0.020328914340611,0.202422994310884,0.28246982668701,0.494778264661495
3,18,0.0708196750300662,0.106523734110281,0.0706858344776591,0.751970756381994
3,19,0.0389609463077056,0.351871293126004,0.161119842323923,0.448047918242367
4,1,0.0792748178924016,0.0950645055521871,0.344111647394158,0.481549029161254
4,2,0.210762118597668,0.534203311138159,0.0837314620655652,0.171303108198608
4,3,0.106376920681712,0.16134613923269,0.194735024623193,0.537541915462405
4,4,0.245906417134967,0.2953873908291,0.251484111690747,0.207222080345186
4,5,0.195092201807249,0.151230604733812,0.437857797207902,0.215819396251036
4,6,0.10458953952348,0.137803520682466,0.0932611246775617,0.664345815116491
4,7,0.180198653310333,0.275039894509239,0.328942055929392,0.215819396251036
4,8,0.128594590786044,0.0510262969837822,0.543022168509388,0.277356943720785
4,9,0.051811231098,0.17200057559129,0.177094865273324,0.599093328037385
4,10,0.745791376148396,0.0651571204371977,0.037829524080166,0.15122197933424
4,11,0.3591041436246,0.246261225167183,0.261557676868283,0.133076954339934
4,12,0.0121956542473442,0.470202651339352,0.373168642306045,0.144433052107258
4,13,0.10498640534618,0.187613415493202,0.437561214057942,0.269838965102676
4,14,0.24950836276385,0.392062689641684,0.187932090778432,0.170496856816034
4,15,0.02422924598322,0.521243004994294,0.277373101803056,0.17715464721943
4,16,0.0348145898993947,0.266019325845192,0.30064103331776,0.398525050937653
4,17,0.301727189710826,0.345886369341411,0.0766370433706503,0.275749397577112
4,18,0.0335236580713021,0.0953396421106022,0.685987920695825,0.18514877912227
4,19,0.262426861937432,0.073331594152137,0.490236602322719,0.174004941587712
5,1,0.0475505274872961,0.0490370114759456,0.376315930205882,0.527096530830877
5,2,0.180503005613712,0.066345744564966,0.547689863661182,0.20546138616014
5,3,0.0862918537298165,0.0635424538434806,0.390611630468572,0.459554061958131
5,4,0.390168127215924,0.153871788438919,0.0552238784907032,0.400736205854454
5,5,0.247969200094803,0.440917246771893,0.0458239750912987,0.265289578042005
5,6,0.0238873554868193,0.519592281828524,0.240546489004998,0.215973873679658
5,7,0.254768579915094,0.0178719161814316,0.550475472695532,0.176884031207942
5,8,0.0542758099322628,0.596580001955879,0.169901683583294,0.179242504528564
5,9,0.156926433408229,0.0847762279118062,0.454093202985894,0.304204135694072
5,10,0.192600750373387,0.060367135295178,0.162221060402744,0.584811053928691
5,11,0.213092803929976,0.0458140177121236,0.509624125167615,0.231469053190286
5,12,0.325749724783701,0.0716156779326998,0.285825949576629,0.31680864770697
5,13,0.34556108144977,0.0576222680590201,0.0697201196603336,0.527096530830877
5,14,0.0737870038936904,0.25197600447345,0.377717058241007,0.296519933391853
5,15,0.113965508654242,0.478430204612387,0.0299945592909768,0.377609727442395
5,16,0.145659561018456,0.254577273169432,0.0671084675783155,0.532654698233797
5,17,0.00656149160755863,0.116025790062312,0.623439897657232,0.253972820672897
5,18,0.56558823657183,0.205670899863395,0.0452656441284618,0.183475219436314
5,19,0.532281704471801,0.0629583023190952,0.0637448724442689,0.341015120764835
6,1,0.33126295095437,0.0692152954784794,0.210185555648349,0.389336197918801
6,2,0.434630651227214,0.114902726692764,0.12524832697988,0.325218295100141
6,3,0.155660851948239,0.0809330004895095,0.448813252847626,0.314592894714626
6,4,0.175691170514485,0.469290404640463,0.147230656831514,0.207787768013539
6,5,0.0577904581909883,0.21848688938619,0.516808501941138,0.206914150481683
6,6,0.0937018257372723,0.259085779799009,0.246203313950971,0.401009080512748
6,7,0.184966782203333,0.260483892024732,0.223360797154412,0.331188528617523
6,8,0.344190460088521,0.141916109277751,0.231731469025764,0.282161961607964
6,9,0.0893486372313609,0.378094284659385,0.372231866343921,0.160325211765332
6,10,0.485442540060504,0.0657987926485468,0.24448980464158,0.20426886264937
6,11,0.219353714640165,0.569006737483681,0.0843310470008924,0.127308500875262
6,12,0.1372686653851,0.140045886131046,0.0748400012581938,0.64784544722566
6,13,0.0824226231059514,0.428724802372193,0.318828577067389,0.170023997454467
6,14,0.417456013654285,0.0967030694859709,0.12444196292445,0.361398953935294
6,15,0.109825227406313,0.045935344612674,0.693633375318188,0.150606052662826
6,16,0.351694073158286,0.149055253457277,0.0591287363464528,0.440121937037984
6,17,0.146471989570517,0.347030402139608,0.334175757661521,0.172321850628354
6,18,0.411515005733106,0.0688823365055125,0.160711211742402,0.35889144601898
6,19,0.239492462494467,0.558890689380182,0.0736886740687645,0.127928174056586
7,1,0.0947655791387565,0.101810948962526,0.413022854331734,0.390400617566983
7,2,0.146136623053361,0.39200430335145,0.0623878868948224,0.399471186700367
7,3,0.361899028086494,0.0735730747747642,0.185686667822968,0.378841229315774
7,4,0.0519721722461817,0.528453507410134,0.207434415551088,0.212139904792596
7,5,0.575099370421005,0.179451313161642,0.0732830489986619,0.172166267418691
7,6,0.117234236995009,0.168938778220198,0.549242884997947,0.164584099786845
7,7,0.195966049309757,0.205339817948837,0.0932358339684141,0.505458298772992
7,8,0.153502801117781,0.257452270767806,0.376946908292378,0.212098019822035
7,9,0.213171076167006,0.520560333075648,0.0532389311653033,0.213029659592043
7,10,0.203970036810136,0.191215002309563,0.446128431090826,0.158686529789476
7,11,0.0836929573462527,0.337298835889631,0.10418727402374,0.474820932740376
7,12,0.163529649999712,0.197651678528821,0.138800853316189,0.500017818155278
7,13,0.318573360406487,0.153262419373964,0.285999629395761,0.242164590823788
7,14,0.164222688226726,0.503302050816924,0.0781281403008184,0.254347120655531
7,15,0.208294331698771,0.399101381454983,0.176846648815795,0.215757638030451
7,16,0.277560711169142,0.381971801589803,0.034180060439018,0.306287426802038
7,17,0.16039271917788,0.140365662817902,0.338094470598225,0.361147147405994
7,18,0.113686808391699,0.280543967127337,0.074601841554459,0.531167382926505
7,19,0.0577967560529763,0.0479254356788545,0.69854766645317,0.195730141814999
8,1,0.463223062382372,0.133917668521346,0.291098693213976,0.111760575882306
8,2,0.370080767126072,0.212331284429044,0.16936665384489,0.248221294599994
8,3,0.304333899147925,0.429657976321524,0.189430648028411,0.0765774765021404
8,4,0.120447906228237,0.486842807207745,0.218190505482179,0.174518781081839
8,5,0.55885631418857,0.0719760586196321,0.265792496865654,0.103375130326144
8,6,0.129616449264297,0.191903148345911,0.585521796083279,0.0929586063065136
8,7,0.252299939550384,0.0832734932490627,0.45358688768769,0.210839679512864
8,8,0.245542270250076,0.100473684378347,0.476227492936399,0.177756552435178
8,9,0.186872170524202,0.052075585508374,0.619475095267448,0.141577148699977
8,10,0.333853069282815,0.167462990331137,0.382565864204449,0.116118076181599
8,11,0.19007850232348,0.418149793341259,0.158390094853059,0.233381609482202
8,12,0.274996811048762,0.156911969379195,0.330693843062343,0.237397376509701
8,13,0.220551792081643,0.265480424699756,0.21360024212747,0.300367541091131
8,14,0.273495064728776,0.382228961551569,0.188211847871836,0.15606412584782
8,15,0.333534631032522,0.290972969272579,0.191338668411708,0.184153731283191
8,16,0.180647448027321,0.374169436971353,0.325258914549972,0.119924200451354
8,17,0.38789917493833,0.397955373426785,0.137567975132745,0.0765774765021404
8,18,0.263876686760098,0.517028336930206,0.0945833298161546,0.124511646493541
8,19,0.326391362789426,0.181246066597859,0.333337096338003,0.159025474274712
9,1,0.138223824325599,0.153862650659992,0.0728454389572746,0.635068086057134
9,2,0.103866253232557,0.1789347309898,0.398615753586003,0.318583262191639
